	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
9	超重/肥胖合并无症状高尿酸血症中医体质与相关指标分析	税婧雯	成都中医药大学	硕士	2024		37	原版阅读      CNKI AI阅读
10	儿童单纯性肥胖的危险因素调查及参苓白术散联合中医外治法干预的临床研究	王鑫	天津中医药大学	硕士	2024		105	原版阅读      CNKI AI阅读
11	基于LPS/TLR4/NF-kB炎症通路探讨健脾化湿法对儿童肥胖糖脂代谢紊乱的疗效及作用机制	段姝宇	天津中医药大学	硕士	2024		105	原版阅读      CNKI AI阅读
12	参苓白术散联合司美格鲁肽治疗脾虚湿困型超重或肥胖T2DM患者的临床研究	田晓娜	广州中医药大学	硕士	2024		38	原版阅读      CNKI AI阅读
13	化浊解毒方联合穴位埋线治疗超重/肥胖患者疗效及对端粒酶影响研究	单心觉	天津中医药大学	硕士	2024		84	原版阅读      CNKI AI阅读
14	健脾祛湿化痰法联合医学减重技术干预痰湿质单纯性肥胖/超重的临床疗效观察	曾璇	广州中医药大学	硕士	2024		79	原版阅读      CNKI AI阅读
15	四妙散治疗肥胖肛周脓肿患者术后创面临床研究	刘林锡	广州中医药大学	硕士	2024		11	原版阅读      CNKI AI阅读
16	补中益气汤对肥胖2型糖尿病的影响和机制探讨	陈天荣	广州中医药大学	硕士	2024		90	原版阅读      CNKI AI阅读
17	穴位埋线结合基于知信行的综合干预对痰湿质单纯性肥胖的疗效观察	王鑫茹	广州中医药大学	硕士	2024		110	原版阅读      CNKI AI阅读
18	肥胖与非肥胖PCOS临床特征及补肾解郁调冲法治疗肥胖PCOS疗效观察	徐子涵	北京中医药大学	硕士	2024		57	原版阅读      CNKI AI阅读
19	五体平衡操对痰瘀互结型腹型肥胖相关性高血压患者的疗效研究	杨盈天	北京中医药大学	硕士	2024		21	原版阅读      CNKI AI阅读
20	三仁豆苓代餐干预痰湿质青年超重/肥胖的临床和代谢组学研究	樊冠祺	北京中医药大学	硕士	2024		56	原版阅读      CNKI AI阅读
21	参苓白术散结合三师共管治疗超重/肥胖患者的效果观察	黄美玲	广州中医药大学	硕士	2024		58	原版阅读      CNKI AI阅读
22	脾瘅方治疗肥胖2型糖尿病疗效观察及作用机制初探	高倩	华北理工大学	硕士	2024		10	原版阅读      CNKI AI阅读
23	泽泻汤对单纯性肥胖大鼠VEGFR-3和Prox1的影响及肥胖患者中医证素分布规律研究	张晖	山东中医药大学	硕士	2024		1	原版阅读      CNKI AI阅读
24	参苓白术散治疗脾虚湿蕴型肥胖的临床观察及网络药理学研究	李欢	山东中医药大学	硕士	2024		8	原版阅读      CNKI AI阅读
25	肥胖型PCOS合并早期先兆流产中医证型的分布规律及相关因素分析	沈晓冬	山东中医药大学	硕士	2024		1	原版阅读      CNKI AI阅读
26	二仙芪苓汤治疗肾虚痰湿证肥胖型多囊卵巢综合征的临床疗效观察及网络药理学研究	赵福	山东中医药大学	硕士	2024		4	原版阅读      CNKI AI阅读
27	身体形态指数与超重/肥胖高血压患者中医证型分布及肾损害相关性研究	洪倩	山东中医药大学	硕士	2024		1	原版阅读      CNKI AI阅读
28	针刺对气郁质单纯性肥胖患者肠道菌群影响的研究	郑懿超	山东中医药大学	硕士	2024		1	原版阅读      CNKI AI阅读
29	加减解肝煎治疗肝郁气滞型单纯性肥胖伴黑棘皮儿童的临床观察	杨升鑫	黑龙江中医药大学	硕士	2024		155	原版阅读      CNKI AI阅读
30	耳穴贴压联合二甲双胍治疗育龄期肥胖型PCOS脂代谢异常的临床观察	陈纪羽	黑龙江中医药大学	硕士	2024	1	246	原版阅读      CNKI AI阅读
31	基于“膏浊”理论治疗超重/肥胖2型糖尿病（痰浊中阻证）的临床研究	张蒙蒙	长春中医药大学	硕士	2024		372	原版阅读      CNKI AI阅读
32	基于“土郁夺之”理论治疗肥胖2型糖尿病（脾虚痰浊证）的临床研究	李莹莹	长春中医药大学	硕士	2024		234	原版阅读      CNKI AI阅读
33	苦酸通调方对超重/肥胖2型糖尿病胰岛素抵抗及血清同型半胱氨酸影响	范雪纯	长春中医药大学	硕士	2024		154	原版阅读      CNKI AI阅读
34	加味芪术化浊颗粒联合耳穴压豆治疗肥胖型糖尿病前期的疗效观察及对NLR的影响	王巧莉	长春中医药大学	硕士	2024		226	原版阅读      CNKI AI阅读
35	温针灸治疗脾虚湿阻型单纯性肥胖并发血脂异常的临床研究	王小兰	长春中医药大学	硕士	2024		383	原版阅读      CNKI AI阅读
36	基于数据挖掘的肥胖合并高尿酸血症的中医证候研究	唐哲博	黑龙江中医药大学	硕士	2024		293	原版阅读      CNKI AI阅读
37	肥胖合并糖尿病前期的中医证型分布及代谢性指标相关性分析	宋昕	黑龙江中医药大学	硕士	2024		378	原版阅读      CNKI AI阅读
38	肥胖患者中医体质分布特点及相关因素分析	魏新丽	黑龙江中医药大学	硕士	2024		599	原版阅读      CNKI AI阅读
39	基于数据挖掘和网络药理学分析湿热内蕴型肥胖合并高尿酸血症的用药规律及机制研究	孙明秀	黑龙江中医药大学	硕士	2024		282	原版阅读      CNKI AI阅读
40	马建教授治疗肥胖型PCOS的用药规律及作用机制研究	陈琮萍	黑龙江中医药大学	硕士	2024		147	原版阅读      CNKI AI阅读
41	单中心2型糖尿病肾病肥胖患者的中医证型分布及相关性研究	牛颖	黑龙江中医药大学	硕士	2024		158	原版阅读      CNKI AI阅读
42	刘建秋教授中医辨治支气管哮喘（慢性持续期）合并单纯性肥胖的临证经验及用药规律研究	李明月	黑龙江中医药大学	硕士	2024		166	原版阅读      CNKI AI阅读
43	电针联合神阙穴贴敷治疗单纯性肥胖（痰湿内盛型）的临床疗效观察	朱瑾怡	黑龙江中医药大学	硕士	2024		280	原版阅读      CNKI AI阅读
44	高蛋白膳食联合轻身汤对脾虚湿阻型肥胖患者的临床疗效观察	张少聪	山西省中医药研究院	硕士	2024		109	原版阅读      CNKI AI阅读
45	2型糖尿病合并超重或肥胖的中医证型与同型半胱氨酸水平相关性研究	陈启泓	山西省中医药研究院	硕士	2024		181	原版阅读      CNKI AI阅读
46	糖肝煎丸联合经穴推拿改善肝郁脾虚型2型糖尿病合并肥胖患者糖脂代谢指标的临床研究	杨诗师	湖北中医药大学	硕士	2024		25	原版阅读      CNKI AI阅读
47	不同代谢状态单纯性肥胖患者的临床特征及中医证型分布研究	施庆	湖北中医药大学	硕士	2024		25	原版阅读      CNKI AI阅读
48	基于数据挖掘和网络药理学探讨中医药治疗肥胖的用药规律及分子作用机制	魏翔	广西中医药大学	硕士	2024		48	原版阅读      CNKI AI阅读
49	健脾化湿法联合奥利司他治疗肥胖型多囊卵巢综合征的临床观察	彭亚兰	广西中医药大学	硕士	2024		39	原版阅读      CNKI AI阅读
50	艾灸“神阙穴”调控食源性肥胖大鼠脂质代谢紊乱的机制研究	骆雨	广西中医药大学	硕士	2024		26	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
51	俞募配穴法埋线治疗痰湿型中心性肥胖的临床观察	黄健蓉	广西中医药大学	硕士	2024		50	原版阅读      CNKI AI阅读
52	基于阴阳理论探讨斡旋中州方治疗肥胖PCOS-IR的机制研究	和翔宇	北京中医药大学	博士	2024		42	原版阅读      CNKI AI阅读
53	“治未病”视角下健康管理中心肥胖风险评估系统的构建与仿真研究	杜劲松	杭州师范大学	博士	2024		701	原版阅读      CNKI AI阅读
54	中药治疗肥胖合并胰岛素抵抗的疗效分析及人群体质研究	刘芳钰	辽宁中医药大学	硕士	2024		83	原版阅读      CNKI AI阅读
55	肥胖伴亚临床甲状腺功能减退症患者中医证型分布及相关因素分析	李翱	辽宁中医药大学	硕士	2024		66	原版阅读      CNKI AI阅读
56	经筋手法松解术联合热敏灸治疗单纯性肥胖的临床疗效观察	朱泳森	江西中医药大学	硕士	2024		111	原版阅读      CNKI AI阅读
57	基于“俞募配穴”理论应用罐法联合艾灸治疗脾虚湿盛型腹型肥胖的临床疗效观察	孙奕陶	成都中医药大学	硕士	2024		158	原版阅读      CNKI AI阅读
58	经皮穴位电刺激治疗腹型肥胖的临床疗效观察	刘顺莉	成都中医药大学	硕士	2024		115	原版阅读      CNKI AI阅读
59	基于“阳化气，阴成形”理论以射频联合穴位埋线治疗女性中心性肥胖的临床疗效观察	郑慧靓	成都中医药大学	硕士	2024		123	原版阅读      CNKI AI阅读
60	基于网络药理学探讨“平胃散”治疗单纯性肥胖的潜在机制及其临床疗效观察	李浩英	成都中医药大学	硕士	2024		27	原版阅读      CNKI AI阅读
61	补中益气汤加减治疗肥胖合并胰岛素抵抗（脾气虚型）的临床观察	刘雅星	天津中医药大学	硕士	2024		44	原版阅读      CNKI AI阅读
62	肝郁气滞型肥胖患者减重前后血清白细胞介素-27水平变化及蛋白组学分析	杜美洋	天津中医药大学	硕士	2024		59	原版阅读      CNKI AI阅读
63	清胃散合四君子汤加减治疗2型糖尿病合并肥胖（胃强脾弱证）临床疗效观察	邢金意	天津中医药大学	硕士	2024		79	原版阅读      CNKI AI阅读
64	腰腹隔姜灸治疗女性更年期肥胖的临床疗效及对血清脂肪因子的影响	徐敏	湖南中医药大学	硕士	2024		81	原版阅读      CNKI AI阅读
65	针刺脐周八穴对肥胖型多囊卵巢综合征不孕症患者糖脂代谢及妊娠结局的临床疗效观察	郝静茹	天津中医药大学	硕士	2024		111	原版阅读      CNKI AI阅读
66	肥胖2型糖尿病患者生辰五运六气的特点分析	刘佳善	广州中医药大学	硕士	2024		18	原版阅读      CNKI AI阅读
67	加味启宫丸治疗肥胖型PCOS的临床疗效分析	焦剑波	遵义医科大学	硕士	2024		11	原版阅读      CNKI AI阅读
68	肥胖患者血糖升高的相关因素及中医证型研究	李春晖	北京中医药大学	硕士	2024		37	原版阅读      CNKI AI阅读
69	超重和肥胖糖耐量减低者的中医体质及临床特征研究	王光琪	北京中医药大学	硕士	2024		31	原版阅读      CNKI AI阅读
70	枳术赞育方治疗阳虚痰湿型超重/肥胖弱精子症的临床观察	杨振霄	北京中医药大学	硕士	2024		14	原版阅读      CNKI AI阅读
71	肥胖对肛瘘发生的影响及预测模型构建	叶桑瑜	北京中医药大学	硕士	2024		19	原版阅读      CNKI AI阅读
72	“除湿消脂”针刺法治疗痰湿内盛型腹型肥胖的临床疗效研究	李骁群	北京中医药大学	硕士	2024		22	原版阅读      CNKI AI阅读
73	肥胖患者代谢手术前后中医证素与糖脂代谢的相关分析	蒋沁妤	北京中医药大学	硕士	2024		12	原版阅读      CNKI AI阅读
74	痰湿体质与气虚体质超重及肥胖患者代谢紊乱特征性研究	李艳梅	云南中医药大学	硕士	2024		11	原版阅读      CNKI AI阅读
75	自拟化痰祛瘀方联合针刺治疗肥胖型多囊卵巢综合征的临床疗效观察	杨玉莹	河北大学	硕士	2024		434	原版阅读      CNKI AI阅读
76	揿针治疗儿童单纯性肥胖（胃热湿阻型）的临床观察	刘兴雪	黑龙江中医药大学	硕士	2024		307	原版阅读      CNKI AI阅读
77	基于循证构建肥胖型多囊卵巢综合征患者体重管理方案	伍虹瑾	成都医学院	硕士	2024		473	原版阅读      CNKI AI阅读
78	肥胖青少年肝脏受控衰减参数与代谢综合征的相关性研究及中医证型特点	齐芳	南京中医药大学	硕士	2024		15	原版阅读      CNKI AI阅读
79	三黄温胆汤治疗超重/肥胖合并2型糖尿病痰湿热结证的临床观察	许徐秀生	南京中医药大学	硕士	2024		28	原版阅读      CNKI AI阅读
80	肥胖患者骨代谢异常中医理论探讨及影响因素分析	李璞琳	南京中医药大学	硕士	2024		168	原版阅读      CNKI AI阅读
81	电针联合走罐疗法治疗超重/肥胖型代谢相关脂肪性肝病临床疗效观察	蒋慧蓉	南京中医药大学	硕士	2024	1	317	原版阅读      CNKI AI阅读
82	“祛湿轻体方”穴位贴敷治疗痰湿型单纯性肥胖的临床疗效观察	沈金梦	南京中医药大学	硕士	2024		293	原版阅读      CNKI AI阅读
83	短期极低热量限食联合GLP-1RA序贯治疗对超重/肥胖糖尿病前期人群体重和糖脂代谢的影响	孙丽婷	南京中医药大学	硕士	2024		125	原版阅读      CNKI AI阅读
84	化浊消脂膏治疗胃热炽盛型肥胖2型糖尿病的临床疗效观察及机制初探	孙菁	南京中医药大学	硕士	2024		22	原版阅读      CNKI AI阅读
85	双醋瑞因治疗成人超重/肥胖（胃热湿阻证）随机、双盲、安慰剂对照的临床研究	项莹颖	南京中医药大学	硕士	2024		11	原版阅读      CNKI AI阅读
86	穴位埋线联合耳穴压豆治疗胃热湿阻型腹型肥胖的临床疗效观察	熊金龙	南京中医药大学	硕士	2024		648	原版阅读      CNKI AI阅读
87	超重/肥胖2型糖尿病中医证型分布与MHR、TyG指数的相关性研究	张婕	南京中医药大学	硕士	2024		457	原版阅读      CNKI AI阅读
88	八段锦联合西药治疗超重或肥胖型2型糖尿病脾虚证患者的临床研究	秦思怡	湖北中医药大学	硕士	2024		37	原版阅读      CNKI AI阅读
89	针刺治疗本科生熬夜所致超重及肥胖的临床疗效评价及作用机制研究	苗嘉芮	辽宁中医药大学	博士	2024		255	原版阅读      CNKI AI阅读
90	健脾消脂方治疗肥胖型2型糖尿病的临床疗效及对血清5-HT、NPY水平的影响	祝成	安徽中医药大学	硕士	2024		136	原版阅读      CNKI AI阅读
91	健脾降浊饮联合中医外治干预脾虚痰湿证体重超重/肥胖PCOS-IR患者的临床研究	武冕	浙江中医药大学	硕士	2024		194	原版阅读      CNKI AI阅读
92	146例单纯性肥胖儿童中医证型与饮食因素相关性研究	郭芝东	成都中医药大学	硕士	2024		29	原版阅读      CNKI AI阅读
93	自拟化痰祛瘀方联合针刺治疗对痰瘀互结证肥胖型多囊卵巢综合征患者糖代谢的影响	方洁	承德医学院	硕士	2024		319	原版阅读      CNKI AI阅读
94	健脾益肾化浊方联合生活方式干预治疗肥胖型多囊卵巢综合征的临床观察	李玲义	甘肃中医药大学	硕士	2024		319	原版阅读      CNKI AI阅读
95	健脾益肾化浊方对肥胖型多囊卵巢综合征患者人体成分及证候的影响	马梅香	甘肃中医药大学	硕士	2024		129	原版阅读      CNKI AI阅读
96	葛连调糖丸治疗湿热内蕴型2型糖尿病合并肥胖的临床研究	杨婕	甘肃中医药大学	硕士	2024		203	原版阅读      CNKI AI阅读
97	健脾化湿活血方治疗肥胖型2型糖尿病（痰湿互结型）的临床观察	谢旦红	浙江中医药大学	硕士	2023	1	424	原版阅读      CNKI AI阅读
98	基于“六郁”理论对肥胖的病机探讨与用药规律研究	李狄龙	天津中医药大学	硕士	2023	3	366	原版阅读      CNKI AI阅读
99	耳穴压丸结合脐灸治疗单纯性肥胖（脾虚湿阻型）的临床疗效观察	王思乂	长春中医药大学	硕士	2023	3	662	原版阅读      CNKI AI阅读
100	中药联合穴位埋线治疗肥胖型多囊卵巢综合征的临床研究	卞云影	中国中医科学院	硕士	2023	3	1310	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
101	儿童单纯性肥胖/超重合并中枢性性早熟证候证素学临床研究	任明月	河南中医药大学	硕士	2023		140	原版阅读      CNKI AI阅读
102	通阳正脊术治疗儿童超重肥胖合并特发性脊柱侧凸的临床研究	茹丽珂	河南中医药大学	硕士	2023		70	原版阅读      CNKI AI阅读
103	基于小胶质细胞Sirt6探讨当归芍药散对高脂饮食诱导肥胖小鼠糖脂代谢和下丘脑炎症的影响	肖晓霞	广州中医药大学	博士	2023		474	原版阅读      CNKI AI阅读
104	超重/肥胖2型糖尿病血糖控制不良的Nomogram预测模型及清热化湿运脾方干预的真实世界研究	殷贝	广州中医药大学	博士	2023	1	754	原版阅读      CNKI AI阅读
105	基于转录组学和代谢组学探讨穴位埋线对痰湿质超重/肥胖的作用机制	李敏	广州中医药大学	博士	2023	2	1080	原版阅读      CNKI AI阅读
106	发酵乳杆菌发酵参荷苓的抗肥胖功效及作用机制研究	燕宪涛	扬州大学	博士	2023	1	2014	原版阅读      CNKI AI阅读
107	基于cGMP-PKG信号通路探讨振腹法调控肥胖小鼠白色脂肪动员的效应机制研究	孙嘉宝	长春中医药大学	博士	2023	3	884	原版阅读      CNKI AI阅读
108	基于脂肪组织M1型巨噬细胞外泌体介导的细胞间通讯探讨大黄黄连泻心汤改善肥胖型T2DM小鼠肝脏胰岛素抵抗的分子机制	任渊	成都中医药大学	博士	2023	3	1382	原版阅读      CNKI AI阅读
109	寻常型银屑病合并肥胖的临床特征与中医证候学研究及发病机制探讨	李兰芝	北京中医药大学	博士	2023	1	484	原版阅读      CNKI AI阅读
110	祛痰利湿方联合二甲双胍治疗肥胖型多囊卵巢综合征的临床观察	沈雅慧	华北理工大学	硕士	2023		256	原版阅读      CNKI AI阅读
111	减脂茶联合阿托伐他汀治疗脾虚痰湿型单纯性肥胖合并血脂异常的临床疗效及安全性	唐瑶	成都中医药大学	硕士	2023	2	212	原版阅读      CNKI AI阅读
112	桑黄泻浊胶囊联合盐酸二甲双胍治疗肥胖型T2DM肺胃热盛证的临床观察	王宁	华北理工大学	硕士	2023		117	原版阅读      CNKI AI阅读
113	减脂茶改善超重或肥胖2型糖尿病（脾虚痰湿型）患者疲劳及相关指标临床疗效研究	谢维	成都中医药大学	硕士	2023		373	原版阅读      CNKI AI阅读
114	肥胖的中医证型分布及其与晚期糖基化终末产物的相关性研究	邓欢	成都中医药大学	硕士	2023	2	208	原版阅读      CNKI AI阅读
115	二至丸改善肝肾阴虚型围绝经期肥胖的理论基础及机制研究	冯钰柔	天津中医药大学	硕士	2023		241	原版阅读      CNKI AI阅读
116	非酒精性脂肪肝少肌性肥胖人群临床特征分析及中医证型分布	柳彦佐	天津中医药大学	硕士	2023	1	309	原版阅读      CNKI AI阅读
117	痰湿质单纯性肥胖人群代谢组学特征和药食同源三仁豆苓方的作用机制	张露	北京中医药大学	硕士	2023		722	原版阅读      CNKI AI阅读
118	薄氏腹针治疗糖尿病前期合并肥胖脾虚痰湿证即刻降糖效应临床观察	申一韬	华北理工大学	硕士	2023	1	233	原版阅读      CNKI AI阅读
119	早期超重或肥胖2型糖尿病患者的经络电导特点分析	方馨薇	广州中医药大学	硕士	2023		62	原版阅读      CNKI AI阅读
120	靳三针调神法治疗脾虚型单纯性肥胖/超重临床研究	曾智君	广州中医药大学	硕士	2023		240	原版阅读      CNKI AI阅读
121	肥胖型阻塞性睡眠呼吸暂停的临床特征及中医证候研究	钟金耀	广州中医药大学	硕士	2023		167	原版阅读      CNKI AI阅读
122	李惠林教授治疗单纯性肥胖经验挖掘及核心处方-减味抵当汤作用机制初探	方泽彬	广州中医药大学	硕士	2023		111	原版阅读      CNKI AI阅读
123	多囊卵巢综合症共病肥胖的机制探讨及苍附导痰汤的疗效观察	刘喜芹	广州中医药大学	硕士	2023		191	原版阅读      CNKI AI阅读
124	基于偏序形式结构分析的肥胖患者病-证知识图谱生成研究	梁嘉莉	广州中医药大学	硕士	2023		63	原版阅读      CNKI AI阅读
125	藿朴夏苓汤加减对胃热湿阻型单纯性肥胖儿童血清瘦素及血脂水平的影响	王晓畅	黑龙江中医药大学	硕士	2023	2	498	原版阅读      CNKI AI阅读
126	耳穴贴压联合二甲双胍治疗育龄期肥胖型PCOS-IR的临床观察	孙嘉怿	黑龙江中医药大学	硕士	2023	1	373	原版阅读      CNKI AI阅读
127	苍附瘦身汤对痰湿阻滞型单纯性肥胖儿童血清脂联素及糖脂代谢的影响	栾振芳	黑龙江中医药大学	硕士	2023		414	原版阅读      CNKI AI阅读
128	泽泻温胆汤加味治疗儿童单纯性肥胖（含超重儿）脾虚痰湿证的临床观察	周瑶	黑龙江中医药大学	硕士	2023	3	629	原版阅读      CNKI AI阅读
129	周亚滨教授治疗冠心病稳定型心绞痛伴肥胖的用药规律分析	李淼	黑龙江中医药大学	硕士	2023	1	314	原版阅读      CNKI AI阅读
130	基于肠道菌群探讨连陈汤治疗肥胖T2DM（痰湿内阻型）的临床疗效	张天昊	黑龙江中医药大学	硕士	2023	1	485	原版阅读      CNKI AI阅读
131	超重肥胖患者中医证型及相关因素分析	杜花	黑龙江中医药大学	硕士	2023	9	1133	原版阅读      CNKI AI阅读
132	连陈汤治疗肥胖T2DM患者的疗效观察及对NF-κB p65、TNF-α的影响	李佳睿	黑龙江中医药大学	硕士	2023	2	393	原版阅读      CNKI AI阅读
133	连陈汤联合中医健康管理治疗痰湿内阻型肥胖的临床观察及对血清NLRP3的影响	李娟	黑龙江中医药大学	硕士	2023		262	原版阅读      CNKI AI阅读
134	2型糖尿病合并肥胖痰瘀互结证的用药规律及网络药理学研究	兰冬雪	黑龙江中医药大学	硕士	2023	1	517	原版阅读      CNKI AI阅读
135	耳穴贴压联合二甲双胍治疗青春期肥胖型PCOS-IR的临床观察	钟丽	黑龙江中医药大学	硕士	2023		212	原版阅读      CNKI AI阅读
136	马建教授中医治疗单纯性肥胖的用药规律分析及经验总结	雷书博	黑龙江中医药大学	硕士	2023	1	697	原版阅读      CNKI AI阅读
137	芪连化浊汤治疗2型糖尿病合并肥胖（脾虚胃热证）的临床疗效观察	王岩岩	黑龙江中医药大学	硕士	2023	1	341	原版阅读      CNKI AI阅读
138	健脾化湿类中药治疗肥胖2型糖尿病的Meta分析	刘海洋	黑龙江中医药大学	硕士	2023	1	560	原版阅读      CNKI AI阅读
139	生酮饮食管理结合穴位埋线对肥胖型PCOS的临床疗效观察	鲍佳慧	黑龙江中医药大学	硕士	2023		402	原版阅读      CNKI AI阅读
140	非肥胖型NAFLD不同中医证型脂代谢指标的分布差异研究	何思远	福建中医药大学	硕士	2023		239	原版阅读      CNKI AI阅读
141	耳穴贴压联合二甲双胍治疗青春期肥胖型PCOS脂代谢异常的临床观察	庄梦迪	黑龙江中医药大学	硕士	2023	1	186	原版阅读      CNKI AI阅读
142	白虎加人参汤类方古代证治规律研究及对肥胖糖尿病小鼠脂肪组织炎症的影响	谭丹妮	湖南中医药大学	硕士	2023	1	394	原版阅读      CNKI AI阅读
143	超重/肥胖人群影响因素调查及中医体重管理临床疗效的Meta分析	邱丽婷	湖南中医药大学	硕士	2023		813	原版阅读      CNKI AI阅读
144	朴春丽教授治疗肥胖2型糖尿病的临床用药经验总结	崔贤美	长春中医药大学	硕士	2023		224	原版阅读      CNKI AI阅读
145	基于“消补同调法”治疗单纯性肥胖合并血脂异常的临床研究	邓见梅	长春中医药大学	硕士	2023	2	197	原版阅读      CNKI AI阅读
146	基于辛开苦降法治疗超重/肥胖2型糖尿病（痰热互结证）的临床研究	郭雨欣	长春中医药大学	硕士	2023	1	277	原版阅读      CNKI AI阅读
147	芪术化浊颗粒联合腹针治疗肥胖型2型糖尿病（脾虚痰湿证）的临床观察	李雪	长春中医药大学	硕士	2023	1	255	原版阅读      CNKI AI阅读
148	从“脾不散精”论治肥胖2型糖尿病的临床研究	李梓琦	长春中医药大学	硕士	2023	2	326	原版阅读      CNKI AI阅读
149	非肥胖型脂肪肝中医体质分布规律研究	刘文泽	长春中医药大学	硕士	2023	1	362	原版阅读      CNKI AI阅读
150	超重/肥胖2型糖尿病前期患者证素分布及与脂代谢相关性研究	牟悦	长春中医药大学	硕士	2023	7	493	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
151	从“玄府-脾络-散膏”通路治疗肥胖型糖尿病前期（湿热蕴脾证）的临床研究	王若琳	长春中医药大学	硕士	2023	3	387	原版阅读      CNKI AI阅读
152	苦酸通调方对超重/肥胖2型糖尿病患者内脏脂肪含量及血清Omentin-1水平的影响	王莹	长春中医药大学	硕士	2023	1	113	原版阅读      CNKI AI阅读
153	基于“痰瘀同治”理论治疗超重/肥胖糖耐量异常的临床研究	赵亮	长春中医药大学	硕士	2023	1	200	原版阅读      CNKI AI阅读
154	腹十穴埋线法治疗单纯性肥胖的临床疗效观察	塔金鸿	长春中医药大学	硕士	2023		572	原版阅读      CNKI AI阅读
155	基于窠囊理论探讨补肾消窠方联合穴位埋线治疗肥胖型多囊卵巢综合征的临床观察	庄珊	山东中医药大学	硕士	2023		305	原版阅读      CNKI AI阅读
156	连夏化浊汤治疗痰湿郁热型肥胖2型糖尿病的临床研究	孔英杰	山东中医药大学	硕士	2023		167	原版阅读      CNKI AI阅读
157	化痰祛瘀方治疗肥胖相关性中青年2级高血压（痰瘀互结型）的临床研究	徐阳	山东中医药大学	硕士	2023	1	216	原版阅读      CNKI AI阅读
158	排毒减肥片联合穴位埋线治疗超重/肥胖型2型糖尿病临床观察	孙玉范	山东中医药大学	硕士	2023		354	原版阅读      CNKI AI阅读
159	健康管理对肥胖型多囊卵巢综合征患者卵巢功能影响的研究	杨茹梦	山东中医药大学	硕士	2023	1	375	原版阅读      CNKI AI阅读
160	自拟减脂降糖方治疗肥胖2型糖尿病湿热内蕴证的疗效观察	杨金灿	山东中医药大学	硕士	2023		283	原版阅读      CNKI AI阅读
161	中青年超重/肥胖患者生活方式与中医证型研究	张子浩	北京中医药大学	硕士	2023		348	原版阅读      CNKI AI阅读
162	脏腑推拿联合生活方式干预中青年单纯性肥胖（脾虚湿盛）的临床研究	惠鸣宇	长春中医药大学	硕士	2023	2	389	原版阅读      CNKI AI阅读
163	平衡火罐疗法联合利拉鲁肽治疗肥胖型2型糖尿病脾虚痰湿型的临床观察	聂瑞芳	河北北方学院	硕士	2023	2	426	原版阅读      CNKI AI阅读
164	中医休粮疗法治疗肥胖型多囊卵巢综合征临床探索性研究	岳梦锦	江西中医药大学	硕士	2023		374	原版阅读      CNKI AI阅读
165	导痰汤合四苓散对肥胖雄性大鼠生殖损伤的修复作用及机制研究	向红伟	河北大学	硕士	2023	1	227	原版阅读      CNKI AI阅读
166	健脾轻身方治疗青少年单纯性肥胖（痰湿内盛型）的临床观察	王书玓	河南中医药大学	硕士	2023		99	原版阅读      CNKI AI阅读
167	定经汤加减联合盐酸吡格列酮治疗非肥胖型多囊卵巢综合征伴胰岛素抵抗患者的临床疗效观察	殷淑君	河南中医药大学	硕士	2023		86	原版阅读      CNKI AI阅读
168	益肾健脾降脂方对肥胖相关性肾病的干预治疗及对血脂的影响	王报林	河南中医药大学	硕士	2023		85	原版阅读      CNKI AI阅读
169	肥胖型非酒精性脂肪性肝病患者中医特色减重管理方案的构建	姜昊	湖北中医药大学	硕士	2023	1	342	原版阅读      CNKI AI阅读
170	基于蛋白组学技术探讨阴阳调理灸治疗更年期肥胖的效应机制	余本璐	湖北中医药大学	博士	2023	1	485	原版阅读      CNKI AI阅读
171	基于数据挖掘探析向楠教授治疗单纯性肥胖的用药规律	闻璐	湖北中医药大学	硕士	2023	1	268	原版阅读      CNKI AI阅读
172	参术益精方治疗肥胖相关性男性不育症（脾虚湿盛证）的临床和机制研究	邓楹君	中国中医科学院	博士	2023	3	657	原版阅读      CNKI AI阅读
173	艾灸结合生活方式干预治疗腹型肥胖的临床及代谢机制的研究	王丽华	湖北中医药大学	博士	2023	2	931	原版阅读      CNKI AI阅读
174	健脾祛痰方联合体重管理治疗肥胖型多囊卵巢综合征合并IR的临床观察	张宇	广西中医药大学	硕士	2023	2	569	原版阅读      CNKI AI阅读
175	温针灸联合神阙穴敷贴治疗脾肾阳虚型单纯性肥胖的临床观察	曾逸谦	广西中医药大学	硕士	2023		516	原版阅读      CNKI AI阅读
176	电针联合耳针治疗脾虚湿阻型单纯性肥胖的疗效观察	范欣	广西中医药大学	硕士	2023	2	325	原版阅读      CNKI AI阅读
177	脐针结合体针治疗脾虚湿阻型腹型肥胖的临床观察	刘玉	广西中医药大学	硕士	2023		277	原版阅读      CNKI AI阅读
178	T2DM腹型肥胖患者证素分析及益糖康对白色脂肪棕色化作用机制研究	孙贵炎	辽宁中医药大学	博士	2023	3	799	原版阅读      CNKI AI阅读
