	篇名	作者	刊名	发表时间	被引	下载	操作
114	中医药标准化研究现状与热点的可视化分析	孟骊冲 廉坤 郭瑾 吴笛 白怡凡 胡志希	中国医药导报	2024-11-05		222	HTML阅读      CNKI AI阅读
115	基于CiteSpace的刮痧治疗失眠的可视化分析	王珍珍 卿慧玲 张小红	循证护理	2024-11-05		536	HTML阅读      CNKI AI阅读
116	基于VOSviewer和CiteSpace近10年关于中医非药物干预糖尿病研究的可视化分析	任宇扬 侯滢 折宝宝	现代中医药	2024-11-04 08:40		491	HTML阅读      CNKI AI阅读
117	2002-2022年中医药治疗慢性荨麻疹研究文献可视化分析	罗晓悦 郭洁 姚丹霓 卢传坚	中国中医药图书情报杂志	2024-11-01		401	HTML阅读      CNKI AI阅读
118	国内中医古籍数字化研究现状及发展趋势分析	胡谦锋 杨心怡 高雨 李文林	中国中医药图书情报杂志	2024-11-01	1	675	HTML阅读      CNKI AI阅读
119	基于CiteSpace中西医结合治疗狼疮性肾炎研究文献可视化分析	施安妮 施芳英 古慧慧 周鑫	中国中医药图书情报杂志	2024-11-01		181	HTML阅读      CNKI AI阅读
120	基于CiteSpace的耳穴压豆治疗失眠的可视化分析	李千禧 李喜艳 佀惠婕 高子琪 廖若夷	湖南中医杂志	2024-10-28		450	HTML阅读      CNKI AI阅读
121	基于CiteSpace和VOSviewer软件分析中医药治疗特发性膜性肾病研究的现状及趋势	贾蒙 韩世盛 毛逸鸣 王怡	世界中西医结合杂志	2024-10-28	1	279	HTML阅读      CNKI AI阅读
122	基于CiteSpace的中医药教学改革现状与热点研究	王兴 张志国 毕慧娟 李增艳 马恺凡 李进阳	中医教育	2024-10-24 13:45	1	381	HTML阅读      CNKI AI阅读
123	基于CiteSpace的2011―2021年国内外网络药理学研究在中医药领域的文献计量学分析	李秋月 许红 李欣欣 申丽君 邓谷霖 李国春	安徽医药	2024-10-22 10:36	1	796	HTML阅读      CNKI AI阅读
124	基于引文空间的中医药治疗经皮冠状动脉介入术后患者的可视化分析	张云晓 孙振海 张梦贺 李树弟 李雯雯 邢钰尉 李妍 陈守强	介入放射学杂志	2024-10-18	1	405	HTML阅读      CNKI AI阅读
125	基于CiteSpace知识图谱分析中医治疗创伤后应激障碍	张光武 张泽国 盛雪燕 马天翔 曾俊媛	光明中医	2024-10-15		241	HTML阅读      CNKI AI阅读
126	基于知识图谱的中医药干预荨麻疹研究现状与热点分析	邹欣妍 王微 赵汉青	中国医药科学	2024-10-15		141	HTML阅读      CNKI AI阅读
127	基于CNKI中医药治疗视神经萎缩知识图谱分析	程雨欣 路雪婧	中医眼耳鼻喉杂志	2024-10-11		103	HTML阅读      CNKI AI阅读
128	中医苦辛配伍文献研究的可视化分析 网络首发	宋玮 杨乐乐 张钟艺 沈涛	中国实验方剂学杂志	2024-10-10 16:05		852	HTML阅读      CNKI AI阅读
129	基于科学知识图谱的证候演变规律研究可视化分析	张雪妍 闫海峰 李晓辉 李滟郦 孔维远 朱翠玲	中西医结合心脑血管病杂志	2024-10-10		238	HTML阅读      CNKI AI阅读
130	基于CiteSpace的中医药健康教育知识传播可视化分析	郑江山 王军永 杨舒琪 焦辉川 谭浩 刘雨璇 周佳佳 王力	医学教育研究与实践	2024-10-01		277	HTML阅读      CNKI AI阅读
131	基于CiteSpace的中医药治疗抑郁症的可视化分析	付玄 于浩	贵州中医药大学学报	2024-09-30		758	HTML阅读      CNKI AI阅读
132	基于CiteSpace探讨中医药治疗排卵障碍性不孕的可视化分析	马斯棋 丁克凡 范春美 陈淑慧 文鑫邦 赵梓钦 李芊妍 张春和 杨毅坚	山西中医药大学学报	2024-09-28		136	HTML阅读      CNKI AI阅读
133	基于CiteSpace的中医治疗糖尿病视网膜病变的可视化分析	陈鑫钰 张大铮 刘敏 黄莉红 蔡晓彤 林见知 周静 谢涛 钟娟 刘穆颉鑫 钱柯宏	黑龙江医药科学	2024-09-27	1	523	HTML阅读      CNKI AI阅读
134	基于CiteSpace的中医药防治急性乳腺炎可视化分析	李启明 胡丽娟 曾诚 李佳弘 施熠 肖荟 卢心雨 张少华 哈博宇 郭艳花	湖南中医杂志	2024-09-27		368	HTML阅读      CNKI AI阅读
135	基于CiteSpace的中医文化在“一带一路”沿线国家和地区传播研究现状的可视化分析	刘国伟	中医临床研究	2024-09-25		55	HTML阅读      CNKI AI阅读
136	中医药传播发展态势研究——基于CiteSpace可视化分析	侯南芳 陈战 王永志	科技传播	2024-09-25	2	594	HTML阅读      CNKI AI阅读
137	基于CiteSpace的中医药治疗薄型子宫内膜可视化分析	郭妮妮 关永格 闫东平 江倩 黄彩莲 梁卓妍	中国性科学	2024-09-25		169	HTML阅读      CNKI AI阅读
138	基于CiteSpace的中医药治疗带状疱疹后遗神经痛的可视化分析	刘玉文 翟梦宇 黄清雅 彭婷 许金水	基层医学论坛	2024-09-23		470	HTML阅读      CNKI AI阅读
139	基于Citespace的中医药防治慢性非萎缩性胃炎可视化分析	雷玉珊 张忠勇 祁月英 王东军 吴范武	华北理工大学学报(医学版)	2024-09-20	1	226	HTML阅读      CNKI AI阅读
140	中西医治疗射血分数保留的心力衰竭研究热点和趋势	林静怡 陈昳冰 罗小非 樊官伟	中草药	2024-09-18	3	793	HTML阅读      CNKI AI阅读
141	基于CNKI对慢性阻塞性肺疾病中医药研究现状的CiteSpace可视化分析	彭思敏 许光兰 李毛毛 郑杭彬 王林 张艳艳 洪妹 裴凯	西部中医药	2024-09-11		687	HTML阅读      CNKI AI阅读
142	基于文献计量学分析中医药治疗乳腺癌的国内外研究现状及热点	张熔 孙腊梅 王聪 李永飞 姚昶	河南中医	2024-09-10		490	HTML阅读      CNKI AI阅读
143	近30年我国痔疮治疗的热点分析与展望——基于CiteSpace的可视化分析	胡文春	陇东学院学报	2024-09-09	2	464	HTML阅读      CNKI AI阅读
144	基于CiteSpace的国内肺癌患者肺康复研究热点与趋势分析	陈思婷 张国龙 邓英 彭婧 何诗 黄宁彬 阮亮	上海护理	2024-09-09	1	756	HTML阅读      CNKI AI阅读
145	基于CiteSpace的可视化分析中医药对癌症患者生活质量的影响	罗雅冰 李跃军	中国当代医药	2024-09-08	1	98	HTML阅读      CNKI AI阅读
146	基于CiteSpace的儿童肺炎中医证候研究的可视化分析	王辉 王雪峰 张秀英 李瑞雪 穆婧雯	中国医药导报	2024-09-05		189	HTML阅读      CNKI AI阅读
147	基于CiteSpace和VOSviewer知识图谱的中医药防治新型冠状病毒感染研究状况及趋势的可视化分析	邹吉宇 王世文 臧凝子 庞立健 吕晓东	中华中医药学刊	2024-09-01 21:07		1624	HTML阅读      CNKI AI阅读
148	中医药治疗注意缺陷多动障碍研究文献可视化分析	陈瑶 黄春玲 倪新强 周翀 王静 朱康琳	中国中医药图书情报杂志	2024-09-01		225	HTML阅读      CNKI AI阅读
149	2000-2022年中医药治疗胃癌前病变研究文献可视化分析	张希颜 曹峻文 张忠绵 叶王宇 陈嘉钦 王岚 林子力 贺柏翔 张晶潾 李志红	中国中医药图书情报杂志	2024-09-01		411	HTML阅读      CNKI AI阅读
150	2002-2022年中医药治疗功能性便秘研究文献可视化分析	杨新玉 杨会举 周凤蕊 卢玉阳 赵允阳 孙浩格 张苗	中国中医药图书情报杂志	2024-09-01		413	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
151	基于CiteSpace的中医药传统知识保护领域可视化研究	张凤霞 王诗恒 朱婷钰 刘剑锋	中国中医药图书情报杂志	2024-09-01		188	HTML阅读      CNKI AI阅读
152	基于CiteSpace的中医药治疗围绝经期失眠研究文献可视化分析	卞旭东 赵晓东 陈正光 郭浩林 于苗 杨秀元	中国中医药图书情报杂志	2024-09-01		662	HTML阅读      CNKI AI阅读
153	基于CiteSpace的中医药治疗湿疹的可视化分析	李丹丹 孙莹	河南大学学报(医学版)	2024-08-28	1	379	HTML阅读      CNKI AI阅读
154	基于CiteSpace的国内耳穴压豆治疗高血压病可视化分析	王灿 陈燕 刘尚 谷城锋	湖南中医杂志	2024-08-28		340	HTML阅读      CNKI AI阅读
155	基于CiteSpace的气滞证研究标准知识图谱可视化分析	马扬 钟艳 杨镭 罗艳敏 杨扬 孙泉 孟斌	湖南中医杂志	2024-08-28		120	HTML阅读      CNKI AI阅读
156	基于CiteSpace的中医药治疗痰证可视化分析	丁冬 李定祥	湖南中医杂志	2024-08-28		148	HTML阅读      CNKI AI阅读
157	基于Web of Science的中医药治疗宫颈癌的趋势可视化分析	段泳彤 高贝贝 姜德	世界中西医结合杂志	2024-08-28		275	HTML阅读      CNKI AI阅读
158	基于CiteSpace的中医药治疗盆腔炎性疾病研究热点与趋势分析	王萌 崔晓萍 崔盼杰 张雅婷 王景龙	陕西中医药大学学报	2024-08-27 09:53		332	HTML阅读      CNKI AI阅读
159	基于Citespace分析中医药治疗肝硬化腹水的现状和趋势	吕金宏	山东第一医科大学(山东省医学科学院)学报	2024-08-25		295	HTML阅读      CNKI AI阅读
160	基于CitesSpace的近10年中国中医康复护理研究热点与发展趋势的可视化分析	竺晨 史颜凯 叶盼 卫心怡 张晓兰	中西医结合护理(中英文)	2024-08-25	1	197	HTML阅读      CNKI AI阅读
161	基于CiteSpace可视化分析的中医硕士研究生课程案例教学体系构建	李瑞丽 王玲玉 蒋海琳	吉林医药学院学报	2024-08-23 11:13		197	HTML阅读      CNKI AI阅读
162	中医药治疗乳腺癌的国内外研究现状及热点：一项基于Web of Science数据库的文献计量学研究（2003-2022） 网络首发	张熔 孙腊梅 王聪 李永飞 姚昶	河南中医	2024-08-20 08:38		733	HTML阅读      CNKI AI阅读
163	基于CiteSpace对中医药治疗肛瘘的可视化研究	黄永新 李志 冷羽 曹波 蔡涛 申学发	基层中医药	2024-08-20		134	HTML阅读      CNKI AI阅读
164	基于CiteSpace知识图谱对中医药治疗心房颤动研究热点与趋势的可视化分析	程晓振 王云翰 陈兴娟 吴怡茹 钮岳岳 李红萍 冯玲	中国循证心血管医学杂志	2024-08-20		171	HTML阅读      CNKI AI阅读
165	国内近20年中医外治法治疗腰椎间盘突出症的可视化分析	方瑩 高利娟 施青青	中医临床研究	2024-08-20	1	336	HTML阅读      CNKI AI阅读
166	中医治疗原发性痛经的可视化分析	余可嘉 卫哲 孙爽	光明中医	2024-08-17	2	861	HTML阅读      CNKI AI阅读
167	我国糖尿病肾病气阴两虚兼血瘀证研究的可视化分析	谭曦 吴吉龙 刘婷 邓奕辉	中国医药导报	2024-08-15		214	HTML阅读      CNKI AI阅读
168	基于CiteSpace的中医药防治糖尿病性血管病变的研究现状可视化分析	黄秦川 唐诗韵 冷玉琳 谢文皎 李军 谢春光	四川中医	2024-08-15	1	135	HTML阅读      CNKI AI阅读
169	基于CiteSpace的中医内科学教学研究现状与热点可视化分析	刘明煊 方锦颖 黄正慧 马玉草 王艺文 王海隆	中医教育	2024-08-14 09:16	3	356	HTML阅读      CNKI AI阅读
170	基于CiteSpace对冠心病中医证候研究热点趋势可视化分析	李鹏 李岩 靳嘉麟 李俐霜 周娜 高欣雨 任星 孙娅楠 逯金金	天津中医药	2024-08-12	1	347	HTML阅读      CNKI AI阅读
171	近十年中医药治疗经皮冠状动脉介入术患者研究现状及热点的可视化分析	王丹丹 郭栋 卞雨敬 黄文文 俞雅婷	中医临床研究	2024-08-10		72	HTML阅读      CNKI AI阅读
172	5-羟色胺在中医药研究中的热点及趋势——基于CiteSpace和VOSviewer的可视化分析	吴学文 徐立雷 朱可安 陈扬 陈汀 林咸明	中医临床研究	2024-08-10		227	HTML阅读      CNKI AI阅读
173	河南特色中医养老模式探讨——基于全国中医药医养结合CiteSpace分析	王浩然 徐铂涵 艾素瑞 车志英 李萌	中国中医药现代远程教育	2024-08-07		544	HTML阅读      CNKI AI阅读
174	基于CiteSpace及VOSviewer对我国中医护理近20年研究热点的可视化分析	梅小红 黎张双子 贾本涛 吴才芳 邓婷	当代护士(下旬刊)	2024-08-01		319	HTML阅读      CNKI AI阅读
175	基于CiteSpace对中医药干预脑小血管病的可视化分析	刘璐 姚婷 谢乐 伍大华	湖南中医杂志	2024-07-28		329	HTML阅读      CNKI AI阅读
176	基于CiteSpace的拔罐法临床护理应用文献计量学分析	苏春芝	护理研究	2024-07-25	1	1667	HTML阅读      CNKI AI阅读
177	基于BERTopic与CiteSpace的中国中医药领域研究热点与主题演化分析	王安莉 张文婷 文庭孝 欧阳威 于姗姗 杨飞龙	医学信息学杂志	2024-07-25	1	879	HTML阅读      CNKI AI阅读
178	中医药治疗葡萄膜炎的CiteSpace研究图谱分析	唐朵 牟欣 段俊国	中药与临床	2024-07-25		81	HTML阅读      CNKI AI阅读
179	我国心系疾病中医护理研究的CiteSpace知识图谱可视化分析	房丽 马琳琳 文杰 王柯文 刘迎秋 杨云	护理研究	2024-07-24	1	2275	HTML阅读      CNKI AI阅读
180	基于CiteSpace的迟发性性腺功能减退症的知识图谱可视化分析	贺小军 董良 申毅锋 徐凯 童越 陈帝昂 阳方 常德贵 俞旭君	中国老年学杂志	2024-07-23		520	HTML阅读      CNKI AI阅读
181	基于CiteSpace知识图谱的中医药治疗慢性乙型肝炎研究热点与趋势分析	邱丁丁 周波 徐建虎	光明中医	2024-07-22	1	348	HTML阅读      CNKI AI阅读
182	中医药治疗鼻咽癌研究文献可视化分析	罗雪彬 韩蜜 龙远雄	安徽医药	2024-07-19 14:11	1	360	HTML阅读      CNKI AI阅读
183	基于CiteSpace的近30年国内中医药翻译研究可视化分析	孙琳 翁克山	现代英语	2024-07-15		40	HTML阅读      CNKI AI阅读
184	韩国Journal of Ginseng Research对我国中医药英文期刊办刊的启示	李颜青 李海英	中国科技期刊研究	2024-07-15	1	211	HTML阅读      CNKI AI阅读
185	基于CiteSpace的中医护理质量管理可视化分析	陈霞 徐艳艳 杨清文 梁传芹	中国医药科学	2024-07-15	1	137	HTML阅读      CNKI AI阅读
186	基于VOSviewer和CiteSpace对中医药治疗视神经炎的可视化分析	林冀鲁 王影 焦文鑫 周芷伊 龙思羽	中国中医眼科杂志	2024-07-10		423	HTML阅读      CNKI AI阅读
187	基于CiteSpace可视化分析中医药调控突触可塑性的研究热点及趋势	沈雪 郑佳佳 张梦若 王雪莉	中医临床研究	2024-07-10		38	HTML阅读      CNKI AI阅读
188	基于人工智能技术的中医四诊客观化知识图谱可视化分析	韩冰玉 刘源 王一涵 谢琼 刘楚楚 蔡臻 王若佳	现代中医药	2024-07-09	3	1642	HTML阅读      CNKI AI阅读
189	中医药调控细胞自噬研究文献可视化分析	龙丹 毛晨晗 刘雅璇 邹君君 徐寅 朱莹	中国中医药信息杂志	2024-07-08	1	518	HTML阅读      CNKI AI阅读
190	银屑病中医药研究热点及趋势的可视化分析	陈璐 陈乐 闫婵娟 闫小宁	中国中西医结合皮肤性病学杂志	2024-06-30	1	486	HTML阅读      CNKI AI阅读
191	CiteSpace知识图谱可视化分析中医药防治痛风性关节炎	孟鑫 崔伟 梁浩瀚	右江民族医学院学报	2024-06-30		208	HTML阅读      CNKI AI阅读
192	基于CiteSpace对化疗相关性恶心呕吐中医护理的可视化分析	刘季玉 彭小玉 肖菊花 刘婧雯 梁佳宁	湖南中医杂志	2024-06-28	1	413	HTML阅读      CNKI AI阅读
193	基于CiteSpace的中医外治法治疗肩周炎可视化分析	贾叶娟 檀占娜 李晓菲 李晓峰 张选平	湖南中医杂志	2024-06-28	1	425	HTML阅读      CNKI AI阅读
194	基于Citespace中医药治疗产后缺乳可视化分析	李吉帅 张荣欣	包头医学院学报	2024-06-25	1	201	HTML阅读      CNKI AI阅读
195	基于CiteSpace可视化分析近五年腰痛的运动疗法研究	王宇 陈柏瑞 朱浩铭 杨正瑜 林建平 陈少清	罕少疾病杂志	2024-06-25		165	HTML阅读      CNKI AI阅读
196	基于CiteSpace的中医文化在“一带一路”沿线国家和地区传播研究热点与趋势的可视化分析	刘国伟	中医临床研究	2024-06-25		109	HTML阅读      CNKI AI阅读
197	基于CiteSpace的运动神经元病中医药治疗的可视化分析	王雯嫱 熊振芳 周晶 乔桂圆	时珍国医国药	2024-06-20		760	HTML阅读      CNKI AI阅读
198	基于CiteSpace分析中医药治疗慢性心力衰竭的知识图谱	祁祥 朱智德 卢健棋 潘朝锌 温志浩 蒋志雄 蔡宗余	西部中医药	2024-06-15	3	454	HTML阅读      CNKI AI阅读
199	中医药调控Wnt信号通路的文献计量学分析	冉立成 袁艺 尚辉 陈丽荣 杨通 李磊 王亚军	世界科学技术-中医药现代化	2024-06-14 12:25		644	HTML阅读      CNKI AI阅读
200	近20年中医古籍的研究方向可视化分析	方仪德 康砚澜 芮芸 李兆健	中医药管理杂志	2024-06-14		207	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
201	中医药治疗蛋白尿研究文献可视化分析	梁芷艺 游德森 张坪 林碧莹	中国中医药图书情报杂志	2024-06-11	1	325	HTML阅读      CNKI AI阅读
202	基于CiteSpace的我国五音疗法知识图谱可视化分析	李露 王丽梅 张翀旎	中医临床研究	2024-06-10		502	HTML阅读      CNKI AI阅读
203	基于CiteSpace中医药治疗急性胰腺炎知识图谱的可视化分析	裴晨越 张良 王广龙 史欣然 贾艳如	中医临床研究	2024-06-06 16:23		418	HTML阅读      CNKI AI阅读
204	中医药治疗单纯性肥胖研究文献可视化分析	陈信颖 高玉芳 高昂 邢竹青 谢赫然 张亚婷 王泓午 关媛媛	中国中医药图书情报杂志	2024-06-06 09:52	2	860	HTML阅读      CNKI AI阅读
205	2000年—2022年中医药治疗冠心病血运重建术后研究文献可视化分析	俞心怡 黄飞 祝丹 陈启兰	实用中医内科杂志	2024-06-04 10:46	2	338	HTML阅读      CNKI AI阅读
206	2013-2022年中医药调节核因子-κB研究热点与趋势分析	雷翰霖 李定祥 阳晶晶 蔡昱哲 邓奕辉	中国中医药信息杂志	2024-06-03 09:07		323	HTML阅读      CNKI AI阅读
207	中医药治疗失眠数据挖掘研究的文献计量分析	胡嘉恺 胡铁骊 易钢	湖南中医杂志	2024-05-28	1	619	HTML阅读      CNKI AI阅读
208	基于CiteSpace可视化分析中医药治疗结直肠癌的研究热点与前沿	李佳兴 贾小强 孙秋月	世界中西医结合杂志	2024-05-28		388	HTML阅读      CNKI AI阅读
209	基于CiteSpace的中医药防治难治性肾病综合征可视化分析	张一凡 潘知玉 张琪 柳菁 段行宇 张昱	世界中西医结合杂志	2024-05-28		287	HTML阅读      CNKI AI阅读
210	基于CiteSpace分析辟谷技术的研究现状、热点及发展趋势	郭晶 李保有 燕晓雯	中国民间疗法	2024-05-28		155	HTML阅读      CNKI AI阅读
211	基于CiteSpace的五运六气知识图谱分析	曹蓓苓 潘赐明 韦姗姗 徐寻 陈文慧	中医临床研究	2024-05-24 17:24		628	HTML阅读      CNKI AI阅读
212	基于CiteSpace对2013-2023年国内中医护理干预现状与趋势的分析	朱炜琴 胡珊 徐建华 季勇 王洋 庄一渝	护理与康复	2024-05-20	1	637	HTML阅读      CNKI AI阅读
213	中医自血疗法研究热点及趋势的可视化分析	侯婷婷 凡丹 田佳欢 周薇 唐敏	现代医药卫生	2024-05-15	1	447	HTML阅读      CNKI AI阅读
214	基于CiteSpace的皮肤病学领域肠道菌群研究热点和前沿分析	刘保红 张胤弢 李博 张楚懿 文越 赵天宇 李帆	中国微生态学杂志	2024-05-15	1	467	原版阅读      CNKI AI阅读
215	基于CiteSpace的乳腺癌内分泌治疗中医相关文献可视化分析	梁藐尹 王宇坤 叶美贤 王雅惠 巫建辉	中国处方药	2024-05-15		159	HTML阅读      CNKI AI阅读
216	中医传统功法研究文献计量学分析	梁闪 刘艳萍 秦元梅 王琳琳 丁艳丽 杨红蕾 王佳佳	中医学报	2024-05-10	2	805	HTML阅读      CNKI AI阅读
217	基于CiteSpace的文献计量学分析中医脉诊研究热点与趋势	王美伊 王歆荷 须怡晖 王忆勤 徐璡	河南中医	2024-05-10	1	416	HTML阅读      CNKI AI阅读
218	基于CiteSpace的中医药防治稳定性心绞痛临床研究热点及现状分析	魏惠平 龚玉栓 郭建强 李淑玲 靳佩 吕欣芳 杨开燕	中医临床研究	2024-05-10		230	HTML阅读      CNKI AI阅读
219	中医健身功法干预心脏康复研究趋势的可视化分析	叶雪姣 王师菡 吴茜 杨盈天 代金刚	中西医结合心脑血管病杂志	2024-05-10		386	HTML阅读      CNKI AI阅读
220	基于CiteSpace的督灸文献可视化分析	刘洁 王秋琴	医学信息	2024-05-01		214	HTML阅读      CNKI AI阅读
221	中医药领域艾滋病免疫功能重建研究文献可视化分析	楼一方 蔡生兴 胡晓楠 刘佳 周佩 赵玉凤	中国中医药图书情报杂志	2024-05-01		323	HTML阅读      CNKI AI阅读
222	中医外治法治疗单纯性肥胖文献可视化分析	赖观亭 张富	中国中医药图书情报杂志	2024-05-01	1	699	HTML阅读      CNKI AI阅读
223	养老领域中医药适宜技术研究文献可视化分析	杜彩凤 文倩倩 赵勇 陈燕清 张维俊 王轩	中国中医药图书情报杂志	2024-05-01		339	HTML阅读      CNKI AI阅读
224	1990-2021年中医文化研究文献可视化分析	董嘉馨 方熙星 宿哲骞 姜曼 张展略	中国中医药图书情报杂志	2024-05-01		309	HTML阅读      CNKI AI阅读
225	基于CiteSpace的中医象思维研究文献可视化分析	杨磊 刘为 樊新荣	中国中医药图书情报杂志	2024-05-01	1	346	HTML阅读      CNKI AI阅读
226	中医药治疗围绝经期综合征文献可视化分析	蔡芳英 董彦敏 赵恒侠 刘德亮 楚淑芳	中国中医药图书情报杂志	2024-05-01	1	356	HTML阅读      CNKI AI阅读
227	我国中医医保支付方式的CiteSpace可视化分析	李青峰 杨土保	湖南中医杂志	2024-04-28	2	631	HTML阅读      CNKI AI阅读
228	关于阿片类物质使用相关障碍的中医药研究可视化分析	刘运恒 王铁东	内蒙古中医药	2024-04-28		95	HTML阅读      CNKI AI阅读
229	基于CiteSpace可视化分析中医药领域妇产科疾病研究热点与趋势	吴亚红	中医药管理杂志	2024-04-28		148	HTML阅读      CNKI AI阅读
230	基于CiteSpace的中医药治疗冠状动脉粥样硬化心脏病文献计量学及可视化分析	庞舒文 黄伟毅 钟文芳 钱晶 赵月丽 吕亚娟 陈小香	中西医结合心脑血管病杂志	2024-04-25	2	896	HTML阅读      CNKI AI阅读
231	基于CiteSpace分析中医药改善阴道微生态知识图谱 网络首发	王颐轩 张作良 靳灵 陈硕硕 武权生 杨亚玲	实用中医内科杂志	2024-04-24 15:22		547	HTML阅读      CNKI AI阅读
232	中医药领域细胞自噬相关研究的可视化分析 网络首发	龙丹 毛晨晗 刘雅璇 邹君君 徐寅 朱莹	中国中医药信息杂志	2024-04-24 12:58		479	原版阅读      CNKI AI阅读
233	基于CiteSpace对慢性荨麻疹研究的可视化分析	许菊艳 吴延豪 宋丽 周银权 孙虹	基层中医药	2024-04-20		298	HTML阅读      CNKI AI阅读
234	近20余年中国功能性消化不良脾虚证研究文献可视化分析	刘佳丽 张北华 尹晓岚 王凤云 唐旭东	世界科学技术-中医药现代化	2024-04-18 21:23	4	1024	HTML阅读      CNKI AI阅读
235	基于文献计量学分析探讨医疗机构提高中医非药物疗法占比和加强科学管理的理论路径研究	周贵阳 吴丽莎 叶璐 杨智明 贺利敏 石玉丰	齐齐哈尔医学院学报	2024-04-15		159	HTML阅读      CNKI AI阅读
236	基于CiteSpace中医药领域治疗帕金森病研究热点和趋势的可视化分析	苏小果 谭文澜 张永全 农朝雷	齐齐哈尔医学院学报	2024-04-15		271	HTML阅读      CNKI AI阅读
237	老年股骨颈骨折护理进展的CiteSpace可视化分析	杨琴 张明月 孙启媛 严静 张锐 付晓凡	护理实践与研究	2024-04-12	1	1096	HTML阅读      CNKI AI阅读
238	基于CiteSpace的中医药治疗冠心病合并焦虑抑郁可视化分析	赵灵灵 张东 郭明冬 刘文娟	世界科学技术-中医药现代化	2024-04-09 13:27	6	2374	HTML阅读      CNKI AI阅读
239	社区卫生服务机构开展中医药服务的文献计量学分析	杨宛君 李丝雨 李易轩 刘春宇 高明超 郦春锦 翟华强	中国全科医学	2024-04-07	3	826	HTML阅读      CNKI AI阅读
240	基于CiteSpace对中医药治疗肝硬化腹水知识图谱可视化分析	陈毅然 戴铭 吕建林 黄晶晶 张文富	亚太传统医药	2024-04-03	3	881	HTML阅读      CNKI AI阅读
241	基于文献可视化分析中医药治疗HPV感染的研究热点及趋势	叶恬恬 张婷 曹陈鑫 钱林丰 何家辉	医学信息	2024-04-01	1	404	HTML阅读      CNKI AI阅读
242	基于CiteSpace对近10年中医药技术干预腰椎间盘突出症研究热点可视化分析	魏礼红 雷雪 杨希 袁强	中华养生保健	2024-04-01	2	346	HTML阅读      CNKI AI阅读
243	中医药治疗宫腔粘连的CiteSpace可视化分析	周琳 陈瑞雪 任梦雪 陈紫薇 郭利 李艳红	世界中西医结合杂志	2024-03-28	1	371	HTML阅读      CNKI AI阅读
244	基于CiteSpace和VOSviewer的我国中西医骨科研究生教育论文比较研究	高梓博 黄俊翰 林定坤 李永津	中国医药导报	2024-03-25		245	HTML阅读      CNKI AI阅读
245	基于CiteSpace的中医治疗肝衰竭的可视化分析	裴浩 陈月桥 孙叶 张燕燕 李坚宇 张雪 黄钰雯	中国现代医药杂志	2024-03-25		158	HTML阅读      CNKI AI阅读
246	基于CiteSpace中医药治疗脑出血科学知识图谱分析	廖远生 廖吉连 张胜 唐佳茜 高丽丽 吴成翰	中医药通报	2024-03-25		132	HTML阅读      CNKI AI阅读
247	基于CiteSpace的糖尿病中医饮食相关研究可视化分析	吕俊嘉 郭桂英 闫丹 申婷婷 李瑾	全科护理	2024-03-15		960	HTML阅读      CNKI AI阅读
248	近十年中医药治疗三阴性乳腺癌研究的可视化分析-基于CiteSpace知识图谱	简文静 岳双冰 卓超林 张广路 宋亚中 金宇	深圳中西医结合杂志	2024-03-15		148	HTML阅读      CNKI AI阅读
249	基于CiteSpace软件的中医诊疗设备研究的可视化分析	崔丹丹 刘一星 韩东燃	医疗卫生装备	2024-03-15		167	HTML阅读      CNKI AI阅读
250	2003-2022年中医药调控间充质干细胞研究文献可视化分析	吴红飞 崔玉石 高云 张帅 王明远 杨胜平	中国中医药信息杂志	2024-03-14 11:36	2	490	HTML阅读      CNKI AI阅读
	篇名	作者	刊名	发表时间	被引	下载	操作
251	中医问诊研究热点主题与趋势——基于CiteSpace的文献计量分析	须怡晖 王美伊 王歆荷 徐琎 王忆勤	上海中医药杂志	2024-03-10	4	669	HTML阅读      CNKI AI阅读
252	基于CiteSpace的脉诊客观化研究领域的科学知识图谱与可视化分析	魏绍轩 张琦 赵宁 李琳荣	中西医结合心脑血管病杂志	2024-03-10	1	434	HTML阅读      CNKI AI阅读
253	基于CiteSpace的中医夹板固定桡骨远端骨折的夹板应用材料、创新改良及生物力学的可视化分析	王仁杰 成冯镜茗 余志勇 熊巍 栗春辉	世界科学技术-中医药现代化	2024-03-06 12:00	2	1022	HTML阅读      CNKI AI阅读
254	近40年中医药治疗慢性萎缩性胃炎研究文献可视化分析	刘晓雨 刘志华 李润泽 李京璠 王玉曼 杜艳茹	亚太传统医药	2024-03-05	4	661	HTML阅读      CNKI AI阅读
255	基于CiteSpace的酒精性肝病知识图谱可视化分析	王桂霞 郭雨璐 刘子强 刘宏 黄祯 王岐本	医学信息	2024-03-01		187	HTML阅读      CNKI AI阅读
256	1994-2022年中医非药物疗法治疗功能性便秘研究文献可视化分析	石文艳 李敬华 田野 王一萌 祖雅琪 孔静静 李国祥 于琦	中国中医药图书情报杂志	2024-03-01	3	599	HTML阅读      CNKI AI阅读
257	1996-2022年中医药治疗肾病综合征研究文献可视化分析	游德森 梁芷艺 宫文婷 张坪 林碧莹	中国中医药图书情报杂志	2024-03-01	2	483	HTML阅读      CNKI AI阅读
