	篇名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
307	MRSA感染性创面菌群特征及Nisin联合盐酸小檗碱对MRSA抗菌作用	许素琪	湖南师范大学	硕士	2021	1	227	原版阅读      CNKI AI阅读
308	盐酸小檗碱对采后柑橘指状青霉和酸腐病菌的抑菌机理初探	林波	湘潭大学	硕士	2021	5	364	原版阅读      CNKI AI阅读
309	黄连肉苁蓉及其中药单体抗脑老化的分子机制研究	胡周	北京中医药大学	硕士	2021	4	350	原版阅读      CNKI AI阅读
310	黄连潜在分布区预测及影响其质量形成关键环境因子分析	李君君	成都中医药大学	硕士	2021	3	401	原版阅读      CNKI AI阅读
311	小檗碱干预下3T3L1细胞脂肪分化过程中miRNA的表达分析及靶基因预测研究	张子玥	南京医科大学	硕士	2021		121	原版阅读      CNKI AI阅读
312	黄连生物碱抗氧化活性及银杏酚酸抗肿瘤活性研究	毛婷婷	扬州大学	硕士	2021	5	631	原版阅读      CNKI AI阅读
313	基于IGF1R/PI3K/GSK3β通路探讨表小檗碱改善糖尿病脑病的作用机制	李春明	西南大学	硕士	2021	1	240	原版阅读      CNKI AI阅读
314	小檗碱的微生物转化及其酶学机制研究	郑守豪	西南大学	硕士	2021	2	383	原版阅读      CNKI AI阅读
315	香连丸治疗抗生素相关性腹泻及机制研究	杨璐嘉	西南大学	硕士	2021	2	358	原版阅读      CNKI AI阅读
316	左金胶囊制剂工艺优化及其抗幽门螺杆菌作用研究	来智慧	西南大学	硕士	2021		140	原版阅读      CNKI AI阅读
317	黄连活性成分小檗碱通过IL-6/JAK2/STAT3信号通路抑制胃癌的生长及其机制研究	任力	西南大学	硕士	2021	6	278	原版阅读      CNKI AI阅读
318	表小檗碱抗胃癌的作用及机制研究	余敏	西南大学	硕士	2021	5	233	原版阅读      CNKI AI阅读
319	小檗碱靶向IGF2BP3抗结直肠癌活性及其机制研究	张雅儒	西南大学	硕士	2021	3	189	原版阅读      CNKI AI阅读
320	表小檗碱对糖尿病肾病的改善作用及其机制研究	肖亚平	西南大学	博士	2021	1	294	原版阅读      CNKI AI阅读
321	蛇黄凝胶制备工艺与质量标准研究	田斌	成都中医药大学	硕士	2021	2	494	原版阅读      CNKI AI阅读
322	大黄素小檗碱双载药壳聚糖纳米粒的初步研究	谢青璇	成都中医药大学	硕士	2021		685	原版阅读      CNKI AI阅读
323	聚苯胺衍生的纳米材料对盐酸小檗碱的释放与电催化研究	赵长浩	广东药科大学	硕士	2021		104	原版阅读      CNKI AI阅读
324	盐酸小檗碱吸入制剂的制备及其治疗呼吸道金黄色葡萄球菌感染的研究	孟治平	南京中医药大学	硕士	2021	8	660	原版阅读      CNKI AI阅读
325	小檗碱对阿霉素肾病大鼠的肾脏保护作用及机制研究	李吉镇	济宁医学院	硕士	2021	4	160	原版阅读      CNKI AI阅读
326	基于TAS2R38探究小檗碱治疗溃疡性结肠炎的分子机制	陈昺伃	南京中医药大学	博士	2021	8	1496	原版阅读      CNKI AI阅读
327	2型糖尿病患者血清IL-1β水平的相关因素分析及三黄汤抑制NLRP3炎症小体的机制初探	周若楠	南京中医药大学	硕士	2021	1	314	原版阅读      CNKI AI阅读
328	盐酸小檗碱抑制肺成纤维细胞转分化的机制研究	顾丽娜	南京中医药大学	硕士	2021	2	242	原版阅读      CNKI AI阅读
329	二妙散有效成分对脂多糖诱导BV2小胶质细胞炎性活化的影响及清热健脾祛湿法治疗多发性硬化Meta分析	易慧敏	南京中医药大学	硕士	2021	2	378	原版阅读      CNKI AI阅读
330	甲苯咪唑和盐酸小檗碱在异育银鲫中的药代动力学特征及盐酸小檗碱对鲤疱疹病毒Ⅱ型感染的抑制作用	苏美珍	上海海洋大学	硕士	2021	3	183	原版阅读      CNKI AI阅读
331	小檗碱和叶酸修饰的脑靶向脂质体配体的设计、合成与初步靶向性评价	刘启俊	四川大学	硕士	2021		160	原版阅读      CNKI AI阅读
332	小檗碱通过调节葡萄糖转运体对糖尿病肾病小鼠肾脏保护作用的机制研究	关锡梅	安徽中医药大学	硕士	2021	2	243	原版阅读      CNKI AI阅读
333	盐酸小檗碱对急性脑梗死患者CXC趋化因子配体16、白细胞介素33及预后的影响	高倩	承德医学院	硕士	2021	1	86	原版阅读      CNKI AI阅读
334	盐酸小檗碱对急性脑梗死患者Vaspin、瘦素的影响及其临床应用价值	宋天娇	承德医学院	硕士	2021		65	原版阅读      CNKI AI阅读
335	糖尿病肾病足细胞源外泌体促进系膜细胞损伤的机制及小檗碱的作用	胡亚琴	安徽医科大学	硕士	2021	2	342	原版阅读      CNKI AI阅读
336	小檗碱-M2型巨噬细胞来源的外泌体在脊髓损伤治疗中的应用	高占山	锦州医科大学	硕士	2021	2	468	原版阅读      CNKI AI阅读
337	负载小檗碱的外泌体对阿尔茨海默症小鼠的神经保护作用及机制研究	李公哲	锦州医科大学	硕士	2021	4	650	原版阅读      CNKI AI阅读
338	小檗碱对糖尿病肾病足细胞保护作用及对长链非编码RNA的初步调节作用研究	汪佳佳	安徽医科大学	硕士	2021	2	195	原版阅读      CNKI AI阅读
339	白头翁汤正丁醇提取物改善VVC小鼠阴道黏膜屏障及主要组分小檗碱抑制白念珠菌黏附阴道上皮的作用研究	赵婷	安徽中医药大学	硕士	2021	2	438	原版阅读      CNKI AI阅读
340	小檗碱激活AMPK/SIRT1通路去乙酰化调控PPARγ促进脂肪组织棕色化及产热机制研究	徐樱溪	中国医科大学	博士	2021	10	2035	原版阅读      CNKI AI阅读
341	盐酸小檗碱与脂肪族二羧酸共晶的制备与性质研究	王礼丽	上海工程技术大学	硕士	2021		349	原版阅读      CNKI AI阅读
342	稠杂环化合物的构建及其抗癌活性研究	江训金	厦门大学	博士	2020		151	原版阅读      CNKI AI阅读
343	盐酸小檗碱对AGEs介导下人牙周膜干细胞成骨分化的作用机制研究	张丽娜	山东大学	博士	2020	1	841	原版阅读      CNKI AI阅读
344	男性代谢状况与骨密度的关系及小檗碱对肥胖雄性大鼠骨代谢的影响	王燕	山东大学	博士	2020	2	316	原版阅读      CNKI AI阅读
345	复方黄柏凝胶特征图谱建立及相关质量评价研究	任松鹏	山东大学	硕士	2020	6	754	原版阅读      CNKI AI阅读
346	亚洲玉米螟几丁质酶OfChi-h的晶体结构与活性抑制	陈磊	大连理工大学	博士	2020		445	原版阅读      CNKI AI阅读
347	盐酸小檗碱片联合二甲双胍治疗对2型糖尿病周围神经病变腓肠神经最大厚度和8-OHdG的影响	杨昕	南华大学	硕士	2020		134	原版阅读      CNKI AI阅读
348	小檗碱对脂肪乳引起的胰岛素抵抗的改善作用及其机制研究	董振华	山东大学	博士	2020		519	原版阅读      CNKI AI阅读
349	基于核受体-CYP450/OATPs通路研究小檗碱对调血脂药代谢和转运的调控作用及分子学机制	刘名义	南昌大学	博士	2020		922	原版阅读      CNKI AI阅读
350	小檗碱及其代谢产物改善胰岛素抵抗作用及机制研究	曲明	天津中医药大学	硕士	2020	1	97	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
351	中药活性物质毛细管电泳筛选及挥发性成分涡旋辅助基质固相分散提取技术研究	刘涛	天津中医药大学	硕士	2020	1	322	原版阅读      CNKI AI阅读
352	抗炎单药的智能响应性纳米载药系统的构建及活性评价	沈翠云	北京化工大学	硕士	2020		517	原版阅读      CNKI AI阅读
353	小檗碱纳米乳口服给药系统的构建及体内外评价	王婷	山东中医药大学	硕士	2020	2	446	原版阅读      CNKI AI阅读
354	嘌呤信号P2X7R在小檗碱缓解小鼠慢性视网膜光损伤的动态变化研究	戴乐舒	中国中医科学院	硕士	2020	1	165	原版阅读      CNKI AI阅读
355	经典名方半夏泻心汤制备工艺及质量标准研究	孙博	哈尔滨商业大学	硕士	2020	1	789	原版阅读      CNKI AI阅读
356	小檗碱对两种重要植物病原真菌的抑制作用及其烟剂的研制	刘金蓉	北京化工大学	硕士	2020	2	399	原版阅读      CNKI AI阅读
357	外翻肠囊法研究黄连吴茱萸类方不同配比的肠吸收机制	王旭	哈尔滨商业大学	硕士	2020	3	289	原版阅读      CNKI AI阅读
358	和厚朴酚线粒体靶向衍生物的合成与抗肿瘤活性研究	史晓佳	山东大学	硕士	2020	3	527	原版阅读      CNKI AI阅读
359	κ-卡拉胶基创面敷料的制备及性能研究	潘志成	暨南大学	硕士	2020	3	510	原版阅读      CNKI AI阅读
360	计算机模拟辅助筛选植物碱类防霉剂的研究	许云朗	华南理工大学	硕士	2020		259	原版阅读      CNKI AI阅读
361	四妙丸及其主要成分小檗碱对RA及ILD的治疗及机制研究	汪会	华中科技大学	博士	2020	5	443	原版阅读      CNKI AI阅读
362	基于信号放大策略的免标记多功能核酸适配体传感体系构筑及其分析应用	兰艺凤	山西大学	博士	2020	4	810	原版阅读      CNKI AI阅读
363	黄芩苷-小檗碱复合物纳米混悬剂的的制备及评价	马旭彤	天津中医药大学	硕士	2020		330	原版阅读      CNKI AI阅读
364	盐酸小檗碱新方案和益生菌根除幽门螺杆菌的临床研究	张剑	中国人民解放军空军军医大学	硕士	2020	2	130	原版阅读      CNKI AI阅读
365	小檗碱通过PI3K/AKT信号通路调控鼻咽癌CNE2细胞迁移的实验研究	彭雅怡	湖南中医药大学	硕士	2020		78	原版阅读      CNKI AI阅读
366	医疗机构制剂抗瘤增效颗粒药学研究	吴阳阳	上海中医药大学	硕士	2020		260	原版阅读      CNKI AI阅读
367	小檗碱靶向FABPs调节脂肪酸代谢抑制肿瘤生长的分子机制研究	李灵丽	华中科技大学	硕士	2020	3	190	原版阅读      CNKI AI阅读
368	高糖与光敏活性氧自由基诱导血管内皮细胞损伤的研究及内皮素的测量	田博文	湖南师范大学	硕士	2020		87	原版阅读      CNKI AI阅读
369	盐酸小檗碱抗非小细胞肺癌的研究	李忠杰	江南大学	硕士	2020	6	421	原版阅读      CNKI AI阅读
370	小檗碱对大鼠佐剂性关节炎的治疗作用及对巨噬细胞极化的影响	周静	蚌埠医学院	硕士	2020	1	610	原版阅读      CNKI AI阅读
371	黄连壮苗稀植栽培技术及产地初加工干燥方法研究	马玉涛	华中农业大学	硕士	2020	10	459	原版阅读      CNKI AI阅读
372	基于Galectin-3介导的TGF-β1/Smad3通路探讨参连复脉颗粒抗炎抗早期纤维化机制	蔡芸	北京中医药大学	硕士	2020	2	353	原版阅读      CNKI AI阅读
373	盐酸小檗碱对高能低蛋白日粮诱导的蛋鸡脂肪肝出血综合征防治作用研究	陈毅燕	江西农业大学	硕士	2020	9	415	原版阅读      CNKI AI阅读
374	小檗碱调节回肠内胆汁酸-法呢醇受体途径改善蛋鸡脂肪肝出血综合征	杨倚天	江西农业大学	硕士	2020	9	335	原版阅读      CNKI AI阅读
375	载盐酸小檗碱β-环糊精-中空羟基磷灰石复合微球缓释系统初步研究	王哲	吉林大学	硕士	2020		491	原版阅读      CNKI AI阅读
376	小檗碱及其CYP450代谢物对UGTs活性的影响与临床药物相互作用风险预测	张艳丽	南昌大学	硕士	2020	1	400	原版阅读      CNKI AI阅读
377	以二甲双胍为API的多药晶体研究及罗格列酮衍生物的制备	边煦霏	重庆医科大学	硕士	2020	2	287	原版阅读      CNKI AI阅读
378	黄连提取物中天然纳米粒促进小檗碱肠道吸收的机制研究	赵青	上海中医药大学	硕士	2020	1	263	原版阅读      CNKI AI阅读
379	小分子化合物小檗碱抑制C6神经胶质瘤细胞生长的分子机制研究	马徐民	湖北科技学院	硕士	2020	1	161	原版阅读      CNKI AI阅读
380	小檗碱衍生物的合成及抗肿瘤活性研究	郝雪慧	南京大学	硕士	2020		276	原版阅读      CNKI AI阅读
381	小檗碱调控自噬和凋亡减轻顺铂致急性肾损伤的机制研究	齐杰莹	南方医科大学	硕士	2020		116	原版阅读      CNKI AI阅读
382	急性呼吸窘迫综合征发病机理及糖皮质激素治疗的系列研究	陈亚东	中国人民解放军医学院	博士	2020		10	原版阅读      CNKI AI阅读
383	小儿湿疹凝胶制备工艺的研究	李亦秀	上海中医药大学	硕士	2020		230	原版阅读      CNKI AI阅读
384	小檗碱通过抑制去泛素化酶CSN5活性下调PD-L1表达发挥肿瘤免疫治疗作用的研究	刘阳	北京协和医学院	硕士	2020	2	446	原版阅读      CNKI AI阅读
385	中药单体小檗碱抗多发性骨髓瘤靶点鉴定及分子作用机制研究	古春明	暨南大学	博士	2020		445	原版阅读      CNKI AI阅读
386	小檗碱诱导线粒体自噬干预流感病毒激活的ROS-NLRP3炎性体通路的机制研究	刘慧	北京中医药大学	博士	2020	6	1158	原版阅读      CNKI AI阅读
387	小檗碱通过下调半乳糖结合凝集素-3表达抑制前脂肪细胞分化、增殖及肥胖发生的实验研究	王灿	北京协和医学院	博士	2020		388	原版阅读      CNKI AI阅读
388	川黄柏、关黄柏及其标准提取物的质量控制研究	陈志鸿	华中科技大学	硕士	2020	5	734	原版阅读      CNKI AI阅读
389	小檗碱基于糖原磷酸化酶及糖原结构调节2型糖尿病小鼠肝糖代谢的机制研究	刘小翠	华中科技大学	硕士	2020	1	333	原版阅读      CNKI AI阅读
390	火绒草甲醇提取物在大鼠体内的药物代谢	雷菲菲	昆明医科大学	硕士	2020	1	374	原版阅读      CNKI AI阅读
391	小檗碱对皮肤鳞状细胞癌A431裸鼠模型抑制机制的研究	邢天娇	内蒙古医科大学	硕士	2020	3	165	原版阅读      CNKI AI阅读
392	小檗碱激活巨噬细胞自噬并改善动脉粥样硬化斑块脆弱性	刘琴	北京协和医学院	硕士	2020	2	306	原版阅读      CNKI AI阅读
393	小檗碱改善地塞米松引起的代谢紊乱及其给药方式对药效影响的研究	马晓蕾	北京协和医学院	硕士	2020	3	194	原版阅读      CNKI AI阅读
394	小檗碱调控NLRP3炎症小体通路对TGF-β1诱导HK-2细胞转分化的实验研究	梅昭	三峡大学	硕士	2020		234	原版阅读      CNKI AI阅读
395	小檗碱通过AMPK/mTOR通路调节自噬溶酶体功能改善糖尿病肾病的机制研究	崔晓	天津医科大学	硕士	2020	11	519	原版阅读      CNKI AI阅读
396	小檗碱激活AMPK减轻脂肪肝缺血再灌注损伤的机制	张馨月	天津医科大学	硕士	2020	1	111	原版阅读      CNKI AI阅读
397	小檗碱调控肝星状细胞自噬及其对肝纤维化作用的机制研究	李灿	成都医学院	硕士	2020	9	533	原版阅读      CNKI AI阅读
398	小檗碱与运动通过SCFAs和免疫调节通路协同抑制乳腺癌生长机制研究	马雯钰	西南大学	硕士	2020	3	279	原版阅读      CNKI AI阅读
399	双色调比率荧光探针的构建及其可视化分析应用	高利霞	西南大学	硕士	2020		177	原版阅读      CNKI AI阅读
400	黄连茎叶的化学成分、药效作用及质量标准研究	楼冠华	成都中医药大学	硕士	2021	1	430	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
401	小檗碱预处理的骨髓间充质干细胞分泌液保护神经元对抗氧化损伤的作用及机制研究	温彩燕	暨南大学	硕士	2020	2	174	原版阅读      CNKI AI阅读
402	丁酸钠与小檗碱联合应用对非酒精性脂肪性肝病改善作用的研究	张艳玲	北京协和医学院	硕士	2020	1	254	原版阅读      CNKI AI阅读
403	基于系统药理及分子对接研究小檗碱对肝细胞癌的作用机制	宋雷	广州中医药大学	硕士	2020	4	354	原版阅读      CNKI AI阅读
404	盐酸小檗碱对β-葡聚糖刺激下巨噬细胞NLRP3炎症小体及菌丝相白念珠菌细胞壁完整性的影响	杨玉	安徽中医药大学	硕士	2020	2	335	原版阅读      CNKI AI阅读
405	白头翁汤正丁醇提取物及其三种主要成分对外阴阴道念珠菌病小鼠中性粒细胞趋化的影响	姜晶晶	安徽中医药大学	硕士	2020	1	299	原版阅读      CNKI AI阅读
406	小檗碱增强替莫唑胺对胶质瘤化疗敏感性的研究	任星光	山西医科大学	硕士	2020	2	119	原版阅读      CNKI AI阅读
407	小檗碱对糖尿病肾病大鼠的肾脏保护作用及其介导mTOR/P70S6K/4EBPl信号通路对足细胞自噬的调控	李超	安徽中医药大学	硕士	2020		82	原版阅读      CNKI AI阅读
408	基于纳米给药系统的葛根芩连口服结肠定位释放胶囊的研究	聂湘江	安徽中医药大学	硕士	2020		144	原版阅读      CNKI AI阅读
409	小檗碱通过调节NF-κB信号通路改善小鼠干眼模型的眼表炎症和凋亡	李云鹏	厦门大学	硕士	2020	3	291	原版阅读      CNKI AI阅读
410	糖尿病肾病系膜细胞源外泌体促进足细胞损伤的机制及小檗碱的作用	刘青	安徽医科大学	硕士	2020	3	279	原版阅读      CNKI AI阅读
411	盐酸小檗碱联合二甲双胍对2型糖尿病合并NAFLD体脂成分和肝脏脂肪含量的影响	胡婷婷	杭州师范大学	硕士	2020	2	124	原版阅读      CNKI AI阅读
412	盐酸小檗碱联合二甲双胍对T2DM患者降糖疗效及胰岛功能影响的研究	俞璟雯	杭州师范大学	硕士	2020		92	原版阅读      CNKI AI阅读
413	基于HOG-MAPK通路研究盐酸小檗碱对白色念珠菌的抑制作用及其机制	黄筱雪	成都中医药大学	硕士	2020	4	496	原版阅读      CNKI AI阅读
414	早期糖尿病对大鼠小血管及其周围环境的影响及小檗碱的改善作用	耿旭芳	河北医科大学	硕士	2020		95	原版阅读      CNKI AI阅读
415	小檗碱对急性脑梗死患者血清IL-1β、hs-CRP及神经功能恢复的影响	张文涛	承德医学院	硕士	2020	1	74	原版阅读      CNKI AI阅读
416	小檗碱通过调节AMPK-AS160-GLUT4信号通路改善糖尿病心肌病大鼠心功能的相关机制研究	王瑞瑶	安徽中医药大学	硕士	2020	3	363	原版阅读      CNKI AI阅读
417	基于药物晶型和辅料的盐酸小檗碱片体外溶出特征研究	余飞	安徽中医药大学	硕士	2020	3	538	原版阅读      CNKI AI阅读
418	小檗碱对2型糖尿病大鼠心肌组织GLUT4表达的影响	宋锁柱	锦州医科大学	硕士	2020	1	54	原版阅读      CNKI AI阅读
419	基于中药系统药理学的小檗碱广谱抗肿瘤的机制研究	郭鹏飞	广州中医药大学	硕士	2020	3	324	原版阅读      CNKI AI阅读
420	柏参王前列胶囊的研制	王天宁	长春中医药大学	硕士	2020	1	234	原版阅读      CNKI AI阅读
421	人脐带血CD133+细胞构建人源化小鼠模型效果评价及小檗碱对其体外扩增的影响	尹肖肖	新乡医学院	硕士	2020	1	148	原版阅读      CNKI AI阅读
422	天然产物Pyripyropene A及小檗碱的结构改造和抗肿瘤活性研究	刘艺	华东师范大学	博士	2019	1	949	原版阅读      CNKI AI阅读
423	高血压并LVH体质调查及基于自噬探讨小檗碱抗心肌肥厚的机制	曾志聪	广州中医药大学	博士	2019	4	176	原版阅读      CNKI AI阅读
424	小檗碱对糖尿病大鼠肾集合管上皮细胞AQP2表达的影响	许大伟	锦州医科大学	硕士	2019		70	原版阅读      CNKI AI阅读
425	基于sp2C-H键活化的天然产物全合成：小檗碱和Illudalanes的全合成及Arnamial的全合成研究	曾志雄	厦门大学	博士	2019		273	原版阅读      CNKI AI阅读
426	大黄硝石汤药代动力学及其有效成分小檗碱的肝肾外排转运研究	金静怡	上海中医药大学	硕士	2019	3	325	原版阅读      CNKI AI阅读
427	基于物质基准关键质量属性一致性的经典名方苍连汤颗粒的药学研究	李婷	山东中医药大学	硕士	2019		44	原版阅读      CNKI AI阅读
428	小檗碱缓解顺铂所致周围神经病变的机制研究	孟晶	南京中医药大学	博士	2019		216	原版阅读      CNKI AI阅读
429	黄柏中黄色素提取分离与改性研究	周蕊	沈阳农业大学	硕士	2019	1	409	原版阅读      CNKI AI阅读
430	基于传统用法的千金黄连丸治疗2型糖尿病大鼠的药效评价与机制研究	雷蕾	中南民族大学	硕士	2019	6	299	原版阅读      CNKI AI阅读
431	在择期经皮冠状动脉支架术后患者中小檗碱的抗血小板作用	桑铭辰	北京协和医学院	博士	2019		158	原版阅读      CNKI AI阅读
432	1、芒果苷及苷元的体内过程研究 2、基于体内过程的三消汤降糖药效物质研究	郭小珍	中国科学院大学(中国科学院上海药物研究所)	博士	2019	7	1408	原版阅读      CNKI AI阅读
433	基于肿瘤细胞荧光药物动力学批量筛选乳腺癌耐药株MCF-7/DOX的中药逆转剂及其与多柔比星联合抗肿瘤的研究	唐超园	浙江中医药大学	硕士	2019		7	原版阅读      CNKI AI阅读
434	小檗碱衍生物的设计、合成与抗肿瘤活性研究及Rh(Ⅲ)催化3-酰基吲哚类化合物的合成研究	周建辉	南昌大学	硕士	2019		78	原版阅读      CNKI AI阅读
435	小檗碱对断奶仔猪生长性能和肠道健康的影响	乐美芳	华南农业大学	硕士	2019	1	175	原版阅读      CNKI AI阅读
436	小檗碱对2型糖尿病小鼠体内胆汁酸代谢的影响及其机制研究	阮燕娇	广州中医药大学	硕士	2019		316	原版阅读      CNKI AI阅读
437	小檗碱对罗非鱼脂肪性肝损伤的保护作用	钱皓	南京农业大学	硕士	2019	1	160	原版阅读      CNKI AI阅读
438	液体弹珠的制备及性能研究	韩帅	西安科技大学	硕士	2019		252	原版阅读      CNKI AI阅读
439	固肾解毒胶囊的质量控制及改善糖尿病肾病大鼠肾功能作用研究	赵艺丹	河南大学	硕士	2019	1	205	原版阅读      CNKI AI阅读
440	小檗碱经FXR/LXRα调控OATP1B1的表达及其机制研究	朱丹丹	南昌大学	硕士	2019	3	336	原版阅读      CNKI AI阅读
441	基于量子力学及分子动力学的葛根芩连汤中小檗碱溶解机制研究	黄茂胜	广东药科大学	硕士	2019	3	359	原版阅读      CNKI AI阅读
442	肠癌小鼠模型的建立及其在药物研究中的应用	冯晨霖	北京协和医学院	硕士	2019	4	730	原版阅读      CNKI AI阅读
443	四氢小檗碱类化合物的设计、合成及降脂活性研究	丛湛青	中国科学院大学(中国科学院上海药物研究所)	硕士	2019		679	原版阅读      CNKI AI阅读
444	小檗碱对肥大细胞介导的过敏性疾病的作用及其机制研究	傅水莲	吉林大学	硕士	2019	7	604	原版阅读      CNKI AI阅读
445	三聚氰胺、盐酸小檗碱和潮霉素B三种化合物免疫学快速检测	郭梦圆	江南大学	硕士	2019	2	315	原版阅读      CNKI AI阅读
446	黄连解毒汤“中枢-外周”整体改善Tg-APP/PS1小鼠认知功能关联性研究	顾欣如	中国中医科学院	硕士	2019	4	538	原版阅读      CNKI AI阅读
447	三种荧光碳点的制备及其分析应用	彭笑笑	湖南科技大学	硕士	2019		250	原版阅读      CNKI AI阅读
448	小儿葛黄止泻颗粒的制备工艺及质量标准研究	姚能	湖北中医药大学	硕士	2019	1	767	原版阅读      CNKI AI阅读
449	纳米金光学传感器的构建及其在药物和疾病标志物检测中的应用研究	胡紫微	暨南大学	硕士	2019	2	297	原版阅读      CNKI AI阅读
450	纤维素固化单宁树脂的制备及吸附性能研究	周鹏	吉首大学	硕士	2019	3	340	原版阅读      CNKI AI阅读
	中文题名	作者	学位授予单位	数据库	学位授予年度	被引	下载	操作
451	基于NF-κB/YY1信号通路研究活血解毒中药成分配伍的内皮细胞保护作用	陈莉	中国中医科学院	硕士	2019	6	334	原版阅读      CNKI AI阅读
452	基于两步释放的术连微丸口服结肠靶向胶囊的研制及体内外评价	唐晓萌	中国人民解放军海军军医大学	硕士	2019	8	473	原版阅读      CNKI AI阅读
453	二妙方和小檗碱调节蛋白乙酰化抑制肝脏糖异生的作用研究	李爱云	上海中医药大学	博士	2019	1	306	原版阅读      CNKI AI阅读
454	多种中药提取物中小分子初级代谢产物含量测定及其促吸收作用研究	周婷	上海中医药大学	硕士	2019	1	348	原版阅读      CNKI AI阅读
455	小檗碱通过miRNA-18b调控猪体外受精胚胎发育的分子机制	王俊丽	北京农学院	硕士	2019		132	原版阅读      CNKI AI阅读
456	盐酸小檗碱通过靶向肝脏葡萄糖激酶改善糖代谢的机制研究	李萌	上海中医药大学	博士	2019	6	596	原版阅读      CNKI AI阅读
457	ZSM-5分子筛对三种植物活性成分吸附行为研究	刘云龙	吉首大学	硕士	2019		153	原版阅读      CNKI AI阅读
458	蒙药白益母草生物碱对血管平滑肌细胞表型的干预作用及机制研究	赵奇慧	中央民族大学	硕士	2019	10	300	原版阅读      CNKI AI阅读
459	甘草配伍对黄连中小檗碱药动学影响的机制研究	王睿	上海中医药大学	硕士	2019	5	459	原版阅读      CNKI AI阅读
460	大孔整体柱制备及生物样品中药活性成分萃取的研究	吴云香	广东药科大学	硕士	2019	1	240	原版阅读      CNKI AI阅读
461	基于“中药-肠道菌群相互作用”探讨半夏泻心汤抗慢性胃炎作用及机制研究	范燕豪	上海中医药大学	硕士	2019	3	573	原版阅读      CNKI AI阅读
462	猝灭型RNA荧光探针的构建及在铂类药物等浓度测定中的应用	李泽冉	南京大学	硕士	2019		107	原版阅读      CNKI AI阅读
463	小檗碱核酸适配体的筛选及其应用研究	张丽娜	北京化工大学	硕士	2019	2	250	原版阅读      CNKI AI阅读
464	基于脂质代谢调控研究苦味中药黄连有效成分小檗碱逐瘀作用	陈志蓉	北京中医药大学	博士	2019		41	原版阅读      CNKI AI阅读
465	黄连人参对药通过调节胰岛细胞转录因子改善糖代谢及其作用机制的初步探讨	袁芬	华中科技大学	博士	2019	5	520	原版阅读      CNKI AI阅读
466	小檗碱调节脂肪组织纤维化和肠道脂质吸收治疗肥胖症的机制研究	胡美霖	华中科技大学	博士	2019	4	937	原版阅读      CNKI AI阅读
467	小檗碱及其联合吉非替尼抑制NSCLC细胞增殖和EMT相关分子机制研究	郑芳	广州中医药大学	博士	2019	2	508	原版阅读      CNKI AI阅读
468	连夏宁心颗粒对冠心病患者的影响及部分相关机制的研究	于晓晗	北京中医药大学	博士	2019	10	414	原版阅读      CNKI AI阅读
469	小檗碱对减压病大鼠肺血管内皮细胞损伤的预防效果和机制分析	唐艳超	中国人民解放军海军军医大学	博士	2019	5	316	原版阅读      CNKI AI阅读
470	天葵子抑菌活性成分研究	刘学勇	西北农林科技大学	硕士	2019		180	原版阅读      CNKI AI阅读
471	盐酸小檗碱及CYP3A5*1基因型对他克莫司药代动力学的影响研究	杨远霞	南方医科大学	硕士	2019		64	原版阅读      CNKI AI阅读
472	小檗碱调节自噬水平逆转乳腺癌化疗耐药的机制研究	王晔	华中科技大学	硕士	2019	1	58	原版阅读      CNKI AI阅读
473	小檗碱对代谢综合征患者hs-CRP及肠道菌群影响的初步研究	吴埼淇	厦门大学	硕士	2019	1	125	原版阅读      CNKI AI阅读
474	黄柏主要产地成分与太赫兹（THz-TDS）初步研究	乔路苹	四川农业大学	硕士	2019	1	256	原版阅读      CNKI AI阅读
475	金芪降糖片对Ⅱ型糖尿病肾病和Ⅱ型糖尿病伴发高血压的改善作用研究	江冰洁	天津大学	硕士	2019	1	166	原版阅读      CNKI AI阅读
476	小檗碱在高糖环境下对人视网膜血管内皮细胞的增殖及VEGF表达的影响	陈晓怡	南华大学	硕士	2019	1	138	原版阅读      CNKI AI阅读
477	小檗碱对大鼠脂肪肝缺血再灌注损伤的作用	张楠	天津医科大学	硕士	2019	2	122	原版阅读      CNKI AI阅读
478	基于反向分子对接理论探讨黄连治疗2型糖尿病效应物质群及其多成分多靶点的分子机制	关宏炜	华中科技大学	硕士	2019	2	521	原版阅读      CNKI AI阅读
479	小檗碱对人黑素瘤A375、A875细胞及相关LncRNA作用研究	王海玲	内蒙古医科大学	硕士	2019	1	79	原版阅读      CNKI AI阅读
480	基于转录组测序分析不同产地黄连化学成分含量差异的分子机制研究	陈涵婷	成都中医药大学	硕士	2019		567	原版阅读      CNKI AI阅读
481	盐酸小檗碱对IBS-D大鼠结肠平滑肌神经传导影响的研究	黄晶晶	广州中医药大学	硕士	2019	1	214	原版阅读      CNKI AI阅读
482	小檗碱通过PTEN对游离脂肪酸损伤的胰岛βTC6细胞保护作用的机制研究	翟佳佳	中国人民解放军空军军医大学	硕士	2019	1	125	原版阅读      CNKI AI阅读
483	盐酸小檗胺防治2型糖尿病肾病的作用及机制的研究	金磊	辽宁大学	硕士	2019	6	231	原版阅读      CNKI AI阅读
